"Provinsi" "Kabupaten" "Kecamatan" "Status" "Warna"
"DKI JAKARTA" "KOTA JAKARTA UTARA" "CILINCING" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA UTARA" "KELAPA GADING" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA UTARA" "KOJA" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA UTARA" "PADEMANGAN" "Siaga" "Orange"
"DKI JAKARTA" "KOTA JAKARTA UTARA" "PENJARINGAN" "Waspada" "Yellow"
"DKI JAKARTA" "KOTA JAKARTA UTARA" "TANJUNGPRIOK" "Waspada" "Yellow"
"BANTEN" "KOTA TANGERANG SELATAN" "CIPUTAT" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG SELATAN" "PAMULANG" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG SELATAN" "PONDOKAREN" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG SELATAN" "SERPONG" "Siaga" "Orange"
"BANTEN" "KOTA TANGERANG SELATAN" "SERPONG UTARA" "Waspada" "Yellow"
"BANTEN" "KOTA TANGERANG SELATAN" "SETU" "Waspada" "Yellow"
"DKI JAKARTA" "KAB. KEPULAUAN SERIBU" "KEPULAUAN SERIBU SELATAN" "Siaga" "Orange"
"DKI JAKARTA" "KAB. KEPULAUAN SERIBU" "KEPULAUAN SERIBU UTARA" "Siaga" "Orange"
